feature,importance,stddev,p_value,n,p99_high,p99_low
longitude,79372.0594699593,689.8860298709534,6.848197975315514e-10,5,80792.54434070185,77951.57459921676
latitude,74892.15768363676,1624.7960855291376,2.6567997901198123e-08,5,78237.63528080969,71546.68008646384
median_income,43622.838966498544,681.7372327284554,7.1557009628934465e-09,5,45026.545351296336,42219.13258170075
total_rooms,32871.87502265541,834.4344437210423,4.978278531785545e-08,5,34589.987075386685,31153.76296992414
population,17434.414833430565,424.56321837429897,4.216750407079808e-08,5,18308.59636815053,16560.2332987106
ocean_proximity,16740.157166772322,826.2883178527713,7.100028347482002e-07,5,18441.4962337494,15038.818099795244
total_bedrooms,11588.317685222042,395.17668676951246,1.6202866412059896e-07,5,12401.991945202722,10774.643425241362
households,7837.9994763493405,279.1712913350925,1.9280091867671876e-07,5,8412.817023765594,7263.181928933087
housing_median_age,5185.867810093489,223.5897009207446,4.1364425661377296e-07,5,5646.242094627382,4725.4935255595965
