model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost,0.8761388064284983,0.8848,accuracy,0.17070674896240234,0.030920028686523438,2.8439157009124756,0.17070674896240234,0.030920028686523438,2.8439157009124756,1,True,4
WeightedEnsemble_L2,0.8761388064284983,0.8848,accuracy,0.1727766990661621,0.03199458122253418,2.9189701080322266,0.0020699501037597656,0.0010745525360107422,0.07505440711975098,2,True,6
LightGBM,0.8734773262360528,0.8824,accuracy,0.2689170837402344,0.0668642520904541,1.8456578254699707,0.2689170837402344,0.0668642520904541,1.8456578254699707,1,True,1
RandomForest,0.8593510082915344,0.8612,accuracy,1.2681090831756592,0.20691251754760742,13.062252759933472,1.2681090831756592,0.20691251754760742,13.062252759933472,1,True,2
ExtraTrees,0.8534138601699253,0.8528,accuracy,1.6338937282562256,0.25827670097351074,8.841449737548828,1.6338937282562256,0.25827670097351074,8.841449737548828,1,True,3
LinearModel,0.8488074521445389,0.8468,accuracy,0.02688884735107422,0.016536474227905273,2.9663567543029785,0.02688884735107422,0.016536474227905273,2.9663567543029785,1,True,5
