model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.877162452656362,0.8856,accuracy,1.772233486175537,0.12589764595031738,35.59585785865784,0.0027730464935302734,0.000823974609375,0.12256598472595215,2,True,11
XGBoost,0.8761388064284983,0.8848,accuracy,0.08730745315551758,0.025498628616333008,2.33026123046875,0.08730745315551758,0.025498628616333008,2.33026123046875,1,True,9
CatBoost,0.8756269833145665,0.8836,accuracy,0.02933669090270996,0.0098419189453125,30.78856587409973,0.02933669090270996,0.0098419189453125,30.78856587409973,1,True,5
LightGBM,0.8734773262360528,0.8824,accuracy,1.16082763671875,0.05425620079040527,1.9500515460968018,1.16082763671875,0.05425620079040527,1.9500515460968018,1,True,2
LightGBMXT,0.8714300337803256,0.8792,accuracy,1.6528162956237793,0.08973312377929688,2.3544647693634033,1.6528162956237793,0.08973312377929688,2.3544647693634033,1,True,1
NeuralNetTorch,0.8596581021598936,0.858,accuracy,0.08292508125305176,0.02329730987548828,59.03614902496338,0.08292508125305176,0.02329730987548828,59.03614902496338,1,True,10
NeuralNetFastAI,0.8595557375371071,0.8644,accuracy,0.1673126220703125,0.03596019744873047,40.38574266433716,0.1673126220703125,0.03596019744873047,40.38574266433716,1,True,8
RandomForestGini,0.8593510082915344,0.8612,accuracy,1.202531099319458,0.17431855201721191,12.20681881904602,1.202531099319458,0.17431855201721191,12.20681881904602,1,True,3
RandomForestEntr,0.8576108097041663,0.8584,accuracy,1.216407299041748,0.18507146835327148,12.10637879371643,1.216407299041748,0.18507146835327148,12.10637879371643,1,True,4
ExtraTreesGini,0.8534138601699253,0.8528,accuracy,0.7398688793182373,0.21653366088867188,7.140693426132202,0.7398688793182373,0.21653366088867188,7.140693426132202,1,True,6
ExtraTreesEntr,0.8506500153546934,0.8524,accuracy,0.867020845413208,0.21755385398864746,7.2860798835754395,0.867020845413208,0.21755385398864746,7.2860798835754395,1,True,7
